constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   185       41.53      0.07620        68.08     82.13     86.88     17.87     20.89      6.56      4.29     33.22     82.66     12.74 
   186       42.23      0.06932        64.40     84.59     90.24     19.89     22.44      5.00     13.59     32.41     83.07      6.67 
   187       38.63      0.06938        55.28     83.79     96.00      7.95      1.11      7.24      4.86     31.14     86.92     11.98 
   188       39.40      0.08505        70.00     90.88     81.44      8.27     -1.11     16.12      3.05     30.46     87.50      7.43 
   189       37.24      0.07920        54.56     79.36     91.76     10.61      0.89      4.48      3.46     30.98     87.77      8.57 
   190       38.44      0.08444        48.80     89.39     84.32     15.52     11.56     11.92     -0.41     28.81     83.80     10.67 
   191       40.41      0.06244        60.80     85.55     84.64      4.21     17.33     17.20      9.46     31.56     85.65      7.73 
   192       39.43      0.06844        53.36     92.00     73.36     15.52     10.22      8.84      9.11     31.88     88.41     11.58 
   193       40.75      0.07215        61.92     88.69     87.04     15.09     11.56     19.24      1.02     28.44     89.77      4.69 
   194       41.95      0.07146        62.48     93.44     70.40     19.04     22.22     18.88      3.11     28.83     88.72     12.42 
